序号,Phase,名称,详情锚点,前置任务,验证命令,状态,备注
1,P0:依赖批次,固定测量协议和真实客户端基线,spec.md#task-1,无,node ../engine/web/bench-agent-runtime.mjs --before → 完整原始基线；node ../engine/web/e2e-agent-runtime.mjs --case baseline → 记录已有能力与缺口,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=c596ce5; baseline+before 19 samples; duplicate GET /api/file confirmed
2,P0:依赖批次,复用加载元信息并消除重复文件传输,spec.md#task-2,1,node ../engine/web/e2e-agent-runtime.mjs --case no-duplicate-read → 请求/字节零额外全文件读取，外改仍冲突,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=20803c6; no-duplicate-read 11/11; extraFullGets=0; external conflict+reopen
3,P0:依赖批次,分离完整网页构建和纯运行入口,spec.md#task-3,2,node ../engine/web/e2e-agent-runtime.mjs --case build-serve；npm --prefix ../engine run web:build --workspaces --if-present → 纯运行无构建，完整 app 可服务,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=bd830ed; build-serve 10/10; web:serve no vite; 7 apps 200
4,P0:依赖批次,实现各应用就绪并接入宿主启动反馈,spec.md#task-4,3,node ../engine/web/e2e-agent-runtime.mjs --case readiness；npm run typecheck → 完整/缺构建/缺依赖和恢复通过,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=742594a; readiness 10/10; plugin typecheck 0; relay tests 10/10
5,P0:依赖批次,执行 Phase 0 回归验证,spec.md#task-5,4,node ../engine/web/e2e-agent-runtime.mjs --case startup-file；npm --prefix ../engine run typecheck；npm run typecheck → 全通过,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=07522fc; startup-file passed; FileLoadMeta undefined; evidence/phase-0/task-5.log
6,P1:依赖批次,建立版本化能力单源和按族发现,spec.md#task-6,5,node ../engine/web/e2e-agent-runtime.mjs --case discovery → 按族范围、真实调用与错版本负例通过,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=bec9197; discovery 15/15; UF-003 archived
7,P1:依赖批次,接入插件按族协商并保留旧宿主模式,spec.md#task-7,6,npm run typecheck；npm test；npm run build；npm run standard:check；node ../engine/web/e2e-agent-runtime.mjs --case plugin-discovery → 新旧模式、切族和真实参数均通过,待开始,
8,P1:依赖批次,提供复用控制协议的 SDK 与 CLI,spec.md#task-8,7,node ../engine/web/e2e-agent-runtime.mjs --case sdk-cli → 真实现有执行器闭环及错误/取消通过,待开始,
9,P1:依赖批次,按需启动 Markdown 执行器纵向闭环,spec.md#task-9,8,node ../engine/web/e2e-agent-runtime.mjs --case headless-markdown → 无 DSH 的实际磁盘闭环通过,待开始,
10,P1:依赖批次,推广外部 agent 到五族和 HTML,spec.md#task-10,9,node ../engine/web/e2e-agent-runtime.mjs --case headless-families → 五族+HTML 无人工开页闭环通过,待开始,
11,P1:依赖批次,完善可视交接和资源释放状态机,spec.md#task-11,10,node ../engine/web/e2e-agent-runtime.mjs --case lifecycle → 崩溃/交接/繁忙/dirty 保留和资源回收通过,待开始,
12,P1:依赖批次,执行 spec 5.2 真实场景全套测试,spec.md#task-12,11,node ../engine/web/e2e-agent-runtime.mjs --all → 全部矩阵通过,待开始,
13,P1:依赖批次,完成同条件性能复测和收益核销,spec.md#task-13,12,node ../engine/web/bench-agent-runtime.mjs --after；node ../engine/web/bench-agent-runtime.mjs --compare → 有效可比样本及目标通过,待开始,
14,P1:依赖批次,执行 Phase 1 回归验证,spec.md#task-14,13,npm --prefix ../engine run typecheck；npm --prefix ../engine run test；npm --prefix ../engine run web:build --workspaces --if-present；npm run typecheck；npm test；npm run build；npm run standard:check；python3 /Users/nothing/.agents/skills/prd-workflow/scripts/validate_package.py docs/web-runtime-efficiency --repo . → 全通过，性能和功能证据齐全,待开始,
