序号,Phase,名称,详情锚点,前置任务,验证命令,状态,备注
1,P0:依赖批次,建立完整文档能力清单和验收数据,spec.md#task-1,无,npm --prefix ../engine run typecheck；npm --prefix ../engine run web:build --workspaces --if-present；node ../engine/web/e2e-web-features.mjs --case inventory → 清单每行有负责任务与真值数据，依赖探测有记录,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=f9f14e6; inventory 49 rows; wfc-inventory exit 0
2,P0:依赖批次,完成首页到 Sheets 保存的最小网页闭环,spec.md#task-2,1,node ../engine/web/e2e-web-features.mjs --case sheets-slice → 真实 XLSX 字节闭环通过,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=4cd58bb; sheets-slice UF-001 success/failure-1/failure-2 passed
3,P0:依赖批次,补齐五族新建打开和跨应用入口,spec.md#task-3,2,node ../engine/web/e2e-web-features.mjs --case entry-matrix → 五族乘五类入口及失败恢复通过,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=c4b3e09; entry-matrix 31/31 + cancel/corrupt passed
4,P0:依赖批次,恢复 Sheets 共享公式及工作簿特征语义,spec.md#task-4,3,node ../engine/web/e2e-web-features.mjs --case sheets-semantics；npm --prefix ../engine run test -w @genoffice/sheets → 语义和特征保真通过,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=28c1def; sheets-semantics UF-002 success/failure-1/failure-2 passed; sheets tests 2520
5,P0:依赖批次,接入 Sheets 媒体图片及透视数据,spec.md#task-5,4,node ../engine/web/e2e-web-features.mjs --case sheets-media → 图片/透视读取及正负保存回放通过,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=71e90fa; sheets-media UF-002 success/failure-1/failure-2 passed
6,P0:依赖批次,执行 Phase 0 回归验证,spec.md#task-6,5,npm --prefix ../engine run typecheck；npm --prefix ../engine run web:build --workspaces --if-present；node ../engine/web/e2e-web-features.mjs --case entries-sheets → 通过,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=53a00b3; typecheck 0; web:build 0; entries-sheets 5/5
7,P1:依赖批次,接通 PDF 页面算法与网页菜单,spec.md#task-7,6,node ../engine/web/e2e-web-features.mjs --case pdf-pages；npm --prefix ../engine run test -w @genoffice/pdf → 每项页数尺寸及失败通过,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=790b93f; pdf-pages UF-003 3/3; pdf tests 727
8,P1:依赖批次,接入 PDF 三目标转换和 worker 取消,spec.md#task-8,7,node ../engine/web/e2e-web-features.mjs --case pdf-convert；npm --prefix ../engine run test -w @genoffice/pdf2docx → 三目标真实重开及失败通过,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=d5ae748; pdf-convert UF-003 3/3; pdf2docx tests 722
9,P1:依赖批次,统一 Slides 布局主题结构菜单事务,spec.md#task-9,8,node ../engine/web/e2e-web-features.mjs --case slides-structure → 清单结构组逐项 UI/tool/撤销/重开通过,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=899f105; slides-structure UF-004 3/3; inventory 27-33 available
10,P1:依赖批次,接入 Slides 媒体链接与输出管线,spec.md#task-10,9,node ../engine/web/e2e-web-features.mjs --case slides-media → 媒体链接与图片输出通过,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=fb5ec40; slides-media UF-004 3/3; inventory 34-37 available
11,P1:依赖批次,接入 Slides 母版动画和网页放映,spec.md#task-11,10,node ../engine/web/e2e-web-features.mjs --case slides-presentation → 母版/动画/放映与权限失败通过,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=5b1581c; slides-presentation UF-004 3/3; inventory 38-41 available
12,P1:依赖批次,执行 Phase 1 回归验证,spec.md#task-12,11,npm --prefix ../engine run typecheck；npm --prefix ../engine run web:build --workspaces --if-present；node ../engine/web/e2e-web-features.mjs --case pdf-slides → 全组通过,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=2a13f08; typecheck 0; web:build 0; pdf-slides 5/5
13,P2:依赖批次,提供网页打印和真实 PDF 导出服务,spec.md#task-13,12,node ../engine/web/e2e-web-features.mjs --case print-export → 每个宣称 app 产生真实 PDF，缺依赖和取消通过,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=83f4263; typecheck 0; print-export UF-005 3/3; inventory print-export available
14,P2:依赖批次,接通扫描件 OCR 和结果回到编辑器,spec.md#task-14,13,node ../engine/web/e2e-web-features.mjs --case ocr → 真实识别成功、未配置和运行失败均通过,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=f562120; typecheck pdf 0; ocr UF-005 3/3; inventory ocrPage available
15,P2:依赖批次,接通模型搜索生成与媒体分析能力,spec.md#task-15,14,node ../engine/web/e2e-web-features.mjs --case providers → 清单每项正例、缺配置、运行错误和恢复通过,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=384b442; providers UF-005 3/3; inventory search/generate/model/analyze/credit available
16,P2:依赖批次,补齐 Docs 和 Markdown 剩余文档桥接,spec.md#task-16,15,node ../engine/web/e2e-web-features.mjs --case docs-markdown → 所有清单归属项真实通过，未归属项为零,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=52aee27; docs-markdown UF-001 3/3; leftover unowned=0; inventory encrypted-open/attachment-extract/protect-save/assets available
17,P2:依赖批次,接入官方 HTML 网页编辑和控制闭环,spec.md#task-17,16,npm --prefix ../engine run web:build --workspaces --if-present；node ../engine/web/e2e-web-features.mjs --case html-edit → HTML 网页和控制真实闭环通过,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=7294c5e; html-edit UF-006 3/3; inventory home-new-html/web-build-route/edit-save available; html-to-docx still compiled-only
18,P2:依赖批次,接通 HTML 转 Word 及目标打开,spec.md#task-18,17,node ../engine/web/e2e-web-features.mjs --case html-docx → 正常转换与两类失败恢复通过,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=146603a; html-docx UF-006 3/3; inventory html-to-docx available
19,P2:依赖批次,对齐插件完整网页能力与清单覆盖,spec.md#task-19,18,npm run typecheck；npm test；npm run build；npm run standard:check；node ../engine/web/e2e-web-features.mjs --case capability → 清单覆盖和插件真实入口通过,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=207a775; capability UF-001 3/3; plugin typecheck/test/build/standard:check 0; html_open+html_export_docx+genoffice_services; CLAIMED_EXTS unchanged
20,P2:依赖批次,执行 spec 5.2 真实场景全套测试,spec.md#task-20,19,node ../engine/web/e2e-web-features.mjs --all → 矩阵和清单全部行通过，无跳过服务正例,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=fad306a; --all 19/19 passed; skipped=[]; UF-001..006 evidence present
21,P2:依赖批次,执行 Phase 2 回归验证,spec.md#task-21,20,npm --prefix ../engine run typecheck；npm --prefix ../engine run test；npm --prefix ../engine run web:build --workspaces --if-present；npm run typecheck；npm test；npm run build；npm run standard:check；python3 /Users/nothing/.agents/skills/prd-workflow/scripts/validate_package.py docs/web-feature-completion --repo . → 全通过，输出与证据齐全,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=fad306a; typecheck/test/web:build/plugin suite/validate 0 FAIL
