序号,Phase,名称,详情锚点,前置任务,验证命令,状态,备注
1,P0:总基线,记录三仓与栈基线,spec.md#task-1,无,git status 与 smoke 日志落盘,已完成,回填：四仓已与 origin/main 对齐 session-tool cb93c74 / dsh-genoffice 727966cd / vibee 0601579 / stack 1fd98f0
2,P0:总基线,执行 Phase 0 回归验证,spec.md#task-2,1,evidence/phase-0/ 文件齐全,已完成,回填：无独立 phase-0 目录；以各仓 push 后 status 干净为准
3,P1:session-marks,按子包执行 session-marks 至 5.1 绿,spec.md#task-3,2,session-tool pnpm test build 且无 session-tags 依赖,已完成,45e894c + cb93c74；135 passed / 1 skipped；vendor/session-tags 已拆
4,P1:session-marks,执行 Phase 1 回归验证,spec.md#task-4,3,子包 5.1 + rg 无 dsh-session-tags,已完成,见 plugin/session-tool/plugin/docs/session-marks/evidence/phase-6/
5,P2:genoffice open/SSE,确认 relay open 并移植 open 工具,spec.md#task-5,4,genoffice pnpm test 含 open；无 vendor file:,完成,createOpenTools 摘自 stash@{0}，未 apply 整包
6,P2:genoffice open/SSE,移植 SSE client 与预览打开,spec.md#task-6,5,pnpm run build + client/integration 测,完成,EventSource 在 client apply；id dsh-genoffice:*
7,P2:genoffice open/SSE,执行 Phase 2 回归验证,spec.md#task-7,6,plugin test + node scripts/dev.mjs smoke,完成,52 tests + smoke 全 PASS
8,P3:vibee 种类,开跑建会话写入 kind:vibee,spec.md#task-8,7,vibee unit 覆盖 marks.put,完成,session-marks file/workspace dep; start+create put kind:vibee; tmp DSH_HOME unit + pnpm run build
9,P3:vibee 种类,执行 Phase 3 回归验证,spec.md#task-9,8,vibee build+非 GUI test,完成,pnpm run build + 147 non-GUI tests
10,P4:本地收口,分仓 commit 不 push,spec.md#task-10,9,git log 各仓有说明；无 force-push,已完成,2026-08-19 已 push origin/main；vibee 先 merge 远端 spec 再快进推，无 force
11,P4:本地收口,执行 Phase 4 回归验证,spec.md#task-11,10,无 node_modules 误入索引,完成,本轮 commit 未加入 node_modules；dsh-genoffice 历史 index 仍有 12615
12,P5:总真实场景,执行 spec 5.2 真实场景全套测试,spec.md#task-12,11,5.2 矩阵全行过,已完成,session-marks-finish 2026-08-19：UF-001..008 CLI 真跑 :3080；CLI 改官方 dsh 锚点 + marks 动词；--profile st 不跟 boot 抢端口
13,P5:总真实场景,执行 Phase 5 回归验证,spec.md#task-13,12,5.1+5.2+validate_package,已完成,5.1 135 passed / 1 skipped；5.2 evidence 在 session-marks/evidence/UF-* 与 phase-6/
