序号,Phase,名称,详情锚点,前置任务,验证命令,状态,备注
1,P0:依赖批次,锁定前置修复并建立隔离合并基线,spec.md#task-1,无,git -C ../engine rev-parse HEAD；git -C ../engine merge-tree --write-tree HEAD de139a061537bea40f0cc81ef8f09a95f77ac52a → 保存实际冲突；npm --prefix ../engine run typecheck → 保存基线,已完成,
2,P0:依赖批次,完整合并官方并解决敏感文件冲突,spec.md#task-2,1,git -C ../engine diff --check；git -C ../engine ls-files -u → 无未解决冲突；node ../engine/web/e2e-official-sync.mjs --case markdown → 真实闭环通过,已完成,worktree=/tmp/genoffice-official-sync-engine; 16 conflicts resolved; markdown e2e passed ous-2026-09-12T17-39-16-358Z; merge uncommitted (git identity unset)
3,P0:依赖批次,执行 Phase 0 回归验证,spec.md#task-3,2,git -C ../engine merge-base --is-ancestor de139a061537bea40f0cc81ef8f09a95f77ac52a HEAD；node ../engine/web/e2e-official-sync.mjs --case markdown；npm --prefix ../engine run typecheck → 通过；实际魔改起点另做 ancestry 核对,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=a8f8f02; official+247e3f5 ancestors; markdown e2e ous-2026-09-12T18-33-40-308Z; typecheck exit 0; original engine HEAD still 247e3f5
4,P1:依赖批次,接入 Docs 官方执行上下文和读取基线,spec.md#task-4,3,node ../engine/web/e2e-official-sync.mjs --case docs-context；npm --prefix ../engine run test -w @genoffice/docs → 两条读取入口及新工具通过,已完成,isolated=/tmp/genoffice-official-sync-engine; docs e2e ous-2026-09-12T18-44-40-186Z; comments/hf/revisions persist; docs test exit 0
5,P1:依赖批次,隔离浏览器 provider 与 Node 运行依赖,spec.md#task-5,4,npm --prefix ../engine run web:build --workspaces --if-present；node ../engine/web/e2e-official-sync.mjs --case browser-provider → 构建与浏览器实际执行通过,已完成,isolated=/tmp/genoffice-official-sync-engine; web:build all exit 0; browser-provider ous-2026-09-12T18-46-49-851Z
6,P1:依赖批次,同步共享落页算法并保持输入兼容,spec.md#task-6,5,npm --prefix ../engine run test -w @genoffice/slides；node ../engine/web/e2e-official-sync.mjs --case land-pages → 合法/非法/过期和丢回执场景通过,已完成,isolated=/tmp/genoffice-official-sync-engine; land-pages ous-2026-09-12T18-50-33-872Z; slides tests 72 passed
7,P1:依赖批次,复核其余四族保存与控制适配,spec.md#task-7,6,node ../engine/web/e2e-official-sync.mjs --case five-family；node ../engine/web/e2e-control-session.mjs --all → 状态与保存回归通过,已完成,isolated=/tmp/genoffice-official-sync-engine; five-family ous-2026-09-12T18-54-14-210Z; css-all css-2026-09-12T18-56-21-190Z
8,P1:依赖批次,同步插件新增工具声明与能力边界,spec.md#task-8,7,npm run typecheck；npm test；npm run build；npm run standard:check；node scripts/e2e-plugin-alignment.mjs --all；node ../engine/web/e2e-official-sync.mjs --case docs-context → 新旧工具真实通过,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=c34ca1a; plugin e2e pta-2026-09-12T19-03-47-109Z; docs-context ous-2026-09-12T19-04-21-329Z
9,P1:依赖批次,登记官方增量和后续网页能力归属,spec.md#task-9,8,git -C ../engine diff --stat f68df70e222d47aa08211f9a2d7748c610d1d6aa HEAD；python3 /Users/nothing/.agents/skills/prd-workflow/scripts/validate_package.py docs/official-upstream-sync --repo . → 清单覆盖官方增量，包结构通过,已完成,isolated=/tmp/genoffice-official-sync-engine HEAD=c34ca1a; inventory=evidence/phase-0/official-increment.md; validate 0 FAIL
10,P1:依赖批次,执行 spec 5.2 真实场景全套测试,spec.md#task-10,9,node ../engine/web/e2e-official-sync.mjs --all → 所有矩阵通过，原文件与新输出均可核对,已完成,isolated=/tmp/genoffice-official-sync-engine; --all ous-2026-09-12T19-07-56-943Z all UF branches passed
11,P1:依赖批次,执行 Phase 1 回归验证,spec.md#task-11,10,npm --prefix ../engine run typecheck；npm --prefix ../engine run test；npm --prefix ../engine run web:build --workspaces --if-present；npm run typecheck；npm test；npm run build；npm run standard:check；python3 /Users/nothing/.agents/skills/prd-workflow/scripts/validate_package.py docs/official-upstream-sync --repo . → 全通过且真实证据存在,已完成,isolated=/tmp/genoffice-official-sync-engine; typecheck+test+web:build+plugin suite exit 0
