app,entry,bridge,implementation_task,uf,positive_case,negative_case,dependency,status
shell,home-new-docx,apps/shell/src/renderer/src/web-bridge.ts#newDoc,3,UF-001,create docx from home and reopen,cancel picker keeps idle,none,available
shell,home-new-md,apps/shell/src/renderer/src/web-bridge.ts#newMarkdown,3,UF-001,create md from home and reopen,cancel picker keeps idle,none,available
shell,home-new-xlsx,apps/shell/src/renderer/src/web-bridge.ts#newSheet,2,UF-001,create xlsx from home and save,notifyUnsupported today,none,stub
shell,home-new-pptx,apps/shell/src/renderer/src/web-bridge.ts#newSlide,3,UF-001,create pptx from home,notifyUnsupported today,none,stub
shell,home-new-pdf,apps/shell/src/renderer/src/web-bridge.ts#newPdf,3,UF-001,create pdf from home,notifyUnsupported today,none,stub
shell,home-new-html,apps/shell/src/renderer/src/web-bridge.ts#newHtml,17,UF-006,create html from home and open /html/,html build missing stays 404 not docs,html-web-dist,available
shell,open-by-ext,apps/shell/src/renderer/src/web-bridge.ts#appForExt,3,UF-001,route five families by extension,unknown ext structured refuse,none,partial
shell,credit-usage,apps/shell/src/renderer/src/web-bridge.ts#openCreditUsage,15,UF-005,open usage when provider ready,unconfigured refuses before navigate,provider,available
docs,open-save,apps/docs/src/renderer/web-bridge.ts,16,UF-001,open edit save reopen docx,cancel or corrupt keeps original,none,available
docs,encrypted-open,apps/docs/src/renderer/web-bridge.ts,16,UF-001,prompt then open with password,wrong password or disabled keeps original,docs-crypto,available
docs,print-export,apps/docs/src/renderer/web-bridge.ts#exportPdf,13,UF-005,export real PDF via web service,missing printer before submit,print-service,available
markdown,open-save,apps/markdown/src/renderer/web-bridge.ts,16,UF-001,open edit save reopen md,invalid UTF-8 readiness=error keeps bytes,none,available
markdown,image-search,apps/markdown/src/renderer/web-bridge.ts#imageSearch,15,UF-005,search returns images,unconfigured/runtime keep empty,search-provider,available
docs,web-search,apps/docs/src/renderer/web-bridge.ts#webSearch,15,UF-005,web search returns results,unconfigured/runtime keep empty,search-provider,available
docs,generate-image,apps/docs/src/renderer/web-bridge.ts#aiGenerateImage,15,UF-005,generate returns image dest,unconfigured/runtime no dest,generate-provider,available
docs,model-stream,apps/docs/src/renderer/web-bridge.ts#aiStream,15,UF-005,configured model returns text,missing key/runtime error,model-provider,available
