序号,Phase,名称,详情锚点,前置任务,验证命令,状态,备注
1,P0:基线与契约,记录基线并归档证据,spec.md#task-1-记录基线并归档证据,无,ls evidence/phase-0/ → commands.log/baseline.md/baseline-docs.png,已完成,commands.log/baseline.md/baseline-docs.png 已归档
2,P0:基线与契约,定义 contracts/control-api.md 控制契约,spec.md#task-2-定义-contractscontrol-apimd-控制契约,1,人工评审 4 个镜像点声明存在,已完成,contracts/control-api.md 落盘；4 镜像点声明；评审记录 control-api-draft.md
3,P0:基线与契约,执行 Phase 0 回归验证,spec.md#task-3-执行-phase-0-回归验证,1;2,node scripts/dev.mjs smoke → 全部通过,已完成,smoke 全绿；phase-0-summary.md 落盘
4,P1:relay 控制面,实现执行器注册表与 SSE 下行通道,spec.md#task-4-实现执行器注册表与-sse-下行通道,3,curl -N /api/control/stream → hello+ping;非法 docId → 400,已完成,curl/smoke 验证通过；evidence/API-control + phase-1/smoke.log 落盘
5,P1:relay 控制面,实现上行通知 POST /api/control/notify,spec.md#task-5-实现上行通知-post-apicontrolnotify,4,curl POST notify → ok;未注册 → ok:false,已完成,curl/smoke 验证通过；evidence/API-control + phase-1/smoke.log 落盘
6,P1:relay 控制面,实现 context/tool 端点,spec.md#task-6-实现-contexttool-端点,4;5,curl 合法/非法/未注册三发 → 三态正确,已完成,curl/smoke 验证通过；evidence/API-control + phase-1/smoke.log 落盘
7,P1:relay 控制面,实现 POST /api/file 写回端点,spec.md#task-7-实现-post-apifile-写回端点,5,curl 写回 → ok;伪造 Host → 403;坏路径 → ok:false,已完成,curl/smoke 验证通过；evidence/API-control + phase-1/smoke.log 落盘
8,P1:relay 控制面,实现 docId 计算与路径安全校验,spec.md#task-8-实现-docid-计算与路径安全校验,4,node -e 同路径同 docId;异路径异 docId,已完成,curl/smoke 验证通过；evidence/API-control + phase-1/smoke.log 落盘
9,P1:relay 控制面,执行 Phase 1 回归验证,spec.md#task-9-执行-phase-1-回归验证,6;7;8,node scripts/dev.mjs smoke → 全绿,已完成,curl/smoke 验证通过；evidence/API-control + phase-1/smoke.log 落盘
10,P2:app 控制适配器,实现 docs 控制适配器,spec.md#task-10-实现-docs-控制适配器,9,npm run web 构建通过;control=1 页面 console 无 error,已完成,浏览器实景 + export 落盘验证通过；phase-2 evidence 落盘
11,P2:app 控制适配器,实现 markdown 控制适配器,spec.md#task-11-实现-markdown-控制适配器,9,npm run web 构建通过;control=1 页面 console 无 error,已完成,浏览器实景 + export 落盘验证通过；phase-2 evidence 落盘
12,P2:app 控制适配器,适配器接线（挂载点+URL 参数协作）,spec.md#task-12-适配器接线挂载点url-参数协作,10;11,URL 无残留参数;EventSource 建立;非 control 无 EventSource,已完成,浏览器实景 + export 落盘验证通过；phase-2 evidence 落盘
13,P2:app 控制适配器,导出字节链路（写回数据源）,spec.md#task-13-导出字节链路写回数据源,10;11,触发 export → notify 字节与编辑器一致;原文件未变,已完成,浏览器实景 + export 落盘验证通过；phase-2 evidence 落盘
